code,parent_code,name,medical_reasoning
3A01.0,3A01,Hereditary vitamin B12 deficiency anaemia,"Key signals for hereditary vitamin B12 deficiency anemia, such as serum vitamin B12 levels and methylmalonic acid (MMA) levels, are missing. The available features do not provide sufficient information to assess B12 deficiency or its hematological consequences."
3A01.1,3A01,Neonatal vitamin B12 deficiency anaemia,"Key signals for screening neonatal vitamin B12 deficiency anemia, such as serum vitamin B12 levels and methylmalonic acid (MMA) levels, are missing. The available features do not provide the necessary biochemical markers to assess vitamin B12 status or deficiency."
3A01.3Y,3A01,Other specified vitamin B12 deficiency anaemia due to intrinsic factor deficiency,"Key signals for screening vitamin B12 deficiency anemia, such as serum vitamin B12 levels and intrinsic factor antibodies, are missing. The available features do not provide sufficient information to assess the likelihood of this specific anemia."
3A01.5,3A01,Drug-induced vitamin B12 deficiency anaemia,"Key signals for screening drug-induced vitamin B12 deficiency anemia, such as serum vitamin B12 levels and methylmalonic acid (MMA) levels, are missing. The available features do not provide sufficient information to assess vitamin B12 status or its deficiency."
3A03.0,3A03,Hereditary orotic aciduria,"Key signals for hereditary orotic aciduria, such as orotic acid levels in urine or specific genetic markers, are not available in the listed features."
3A03.3,3A03,Copper deficiency anaemia,"Key signals for screening copper deficiency anemia, such as serum copper levels and ceruloplasmin, are missing from the available features."
3A03.41,3A03,Acquired riboflavin deficiency anaemia,"Key signals for screening acquired riboflavin deficiency anemia, such as riboflavin levels or specific vitamin deficiency markers, are missing. While hematological parameters are available, they do not specifically indicate riboflavin deficiency."
3A03.4Y,3A03,Other specified acquired other vitamin B deficiency anaemia,"Key signals for assessing vitamin B deficiency anemia, such as serum vitamin B12 and folate levels, are missing from the available features."
3A03.5,3A03,Acquired vitamin A deficiency anaemia,"Key signals for assessing vitamin A levels, such as serum retinol or carotenoids, are missing. Additionally, specific tests for vitamin A deficiency are not included, making screening infeasible."
3A03.6,3A03,Acquired vitamin E deficiency anaemia,"Key signals for screening acquired vitamin E deficiency anemia, such as vitamin E levels or specific dietary intake assessments, are missing. The available features do not provide the necessary biochemical markers to assess vitamin E status or deficiency."
3A10.1,3A10,Haemolytic anaemia due to adenosine deaminase excess,"Key signals for screening hemolytic anemia, such as specific enzyme levels (e.g., adenosine deaminase), reticulocyte count, and direct Coombs test, are missing. The available features do not provide sufficient information to assess the likelihood of this specific type of hemolytic anemia."
3A10.2,3A10,Hereditary elliptocytosis,"Key features for screening hereditary elliptocytosis, such as specific red blood cell morphology assessments (e.g., peripheral blood smear) and genetic testing for spectrin mutations, are not available in the listed NHANES features."
3A10.3,3A10,Familial pseudohyperkalaemia,"Familial pseudohyperkalaemia is characterized by elevated serum potassium levels without true hyperkalemia, often requiring specific genetic testing or assessment of potassium levels under stress conditions. The available features do not include direct measures of potassium levels or genetic markers necessary for screening this condition."
3A20.3,3A20,Paroxysmal cold haemoglobinuria,"Key signals for paroxysmal cold hemoglobinuria, such as direct Coombs test results, specific antibody tests (e.g., anti-P antibodies), and clinical history of cold exposure, are not available in the listed features."
3A21.0,3A21,Paroxysmal nocturnal haemoglobinuria,"Key features such as flow cytometry results for CD55 and CD59 expression, which are critical for diagnosing paroxysmal nocturnal hemoglobinuria, are not available."
3A50.4,3A50,Hereditary persistence of fetal haemoglobin,"Key signals for screening hereditary persistence of fetal hemoglobin, such as fetal hemoglobin levels (HbF) and genetic testing for mutations in the HBG gene, are not included in the available features."
3A51.0,3A51,Sickle cell trait,"Sickle cell trait screening typically requires hemoglobin electrophoresis or genetic testing to identify the presence of the HbS allele, which are not included in the available features. The listed hematological parameters do not provide sufficient specificity or sensitivity for screening this condition."
3A51.7,3A51,High affinity haemoglobin,"Key signals such as specific hemoglobin variants or genetic testing for high affinity hemoglobin are not available in the listed features, making screening for this condition infeasible."
3A60.1,3A60,Hereditary pure red cell aplasia,"Key signals for hereditary pure red cell aplasia, such as specific genetic markers or direct measures of erythropoiesis, are missing. While some hematological parameters are available, they do not provide sufficient specificity or sensitivity for screening this condition."
3A72.01,3A72,Hereditary syndromic sideroblastic anaemia,"Key signals for hereditary syndromic sideroblastic anemia, such as specific iron studies (e.g., serum ferritin, transferrin saturation), genetic testing for mutations, and bone marrow examination for ringed sideroblasts, are missing. The available features do not provide sufficient information to screen or assess likelihood effectively."
3A91,3A91,Congenital methaemoglobinaemia,"Key signals for congenital methaemoglobinaemia, such as methemoglobin levels or specific hemoglobin variants, are not included in the available features."
3A92,3A92,Hereditary methaemoglobinaemia,"Key signals for hereditary methaemoglobinaemia, such as methemoglobin levels or specific genetic markers, are not included in the available features."
3A93,3A93,Acquired methaemoglobinaemia,"Key signals for acquired methaemoglobinaemia, such as methemoglobin levels or specific oxygen saturation measurements, are not included in the available features."
3B10.0,3B10,Haemophilia A,"Key signals for screening Haemophilia A, such as specific factor VIII activity levels or genetic testing for mutations in the F8 gene, are not available in the listed features."
3B10.1,3B10,Hereditary factor VIII deficiency with anti-factor VIII inhibitor,"Key signals for screening hereditary factor VIII deficiency with anti-factor VIII inhibitor, such as specific factor VIII activity assays and inhibitor testing, are not available in the listed features."
3B10.Y,3B10,Other specified hereditary factor VIII deficiency,"Key signals for screening hereditary factor VIII deficiency, such as specific factor VIII activity assays or genetic testing for mutations in the F8 gene, are not available in the listed features."
3B10.Z,3B10,"(Hereditary factor VIII deficiency, unspecified)","Key signals for screening hereditary factor VIII deficiency, such as specific coagulation factor assays (e.g., factor VIII activity), are missing. The available features do not include relevant hematological parameters or genetic markers necessary for effective screening."
3B11.0,3B11,Haemophilia B,"Key signals for screening Haemophilia B, such as specific factor IX activity levels or genetic testing for mutations in the F9 gene, are not available in the listed features."
3B11.Y,3B11,Other specified hereditary factor IX deficiency,"Key signals for screening hereditary factor IX deficiency, such as specific coagulation factor assays (e.g., factor IX activity), are missing. The available features do not include relevant hematological parameters or genetic markers necessary for effective screening."
3B11.Z,3B11,"(Hereditary factor IX deficiency, unspecified)","Key signals for screening hereditary factor IX deficiency, such as specific coagulation factor assays (e.g., factor IX activity), are missing. The available features do not include relevant hematological parameters or genetic testing necessary for effective screening."
3B12,3B12,Von Willebrand disease,"Key diagnostic features for Von Willebrand disease, such as von Willebrand factor levels, factor VIII activity, and specific bleeding history, are not included in the available features."
3B13,3B13,Haemophilia C,"Key signals for screening Haemophilia C, such as specific coagulation factor assays (e.g., factor XI levels), are missing. The available features do not include relevant hematological parameters or genetic markers necessary for effective screening."
3B14.0,3B14,Hereditary deficiency of factor I,"Key signals for screening hereditary deficiency of factor I, such as specific coagulation factor assays (e.g., factor I levels) and genetic testing, are not available in the listed features."
3B14.1,3B14,Hereditary factor X deficiency,"Key signals for hereditary factor X deficiency, such as specific coagulation factor assays (e.g., factor X activity), are missing. The available features do not include any relevant coagulation parameters necessary for screening or likelihood assessment."
3B14.2,3B14,Combined deficiency of vitamin K-dependent clotting factors,"Key signals for screening combined deficiency of vitamin K-dependent clotting factors, such as prothrombin time (PT) and activated partial thromboplastin time (aPTT), are missing. These coagulation tests are essential for assessing the functionality of vitamin K-dependent clotting factors."
3B14.Z,3B14,"(Other inherited coagulation factor deficiency with bleeding tendency, unspecified)","Essential signals for screening inherited coagulation factor deficiencies, such as specific factor assays (e.g., Factor VIII, Factor IX levels) and genetic testing, are missing. The available features do not provide the necessary information to assess bleeding tendencies related to coagulation factor deficiencies."
3B15,3B15,Inherited coagulation factor deficiency without bleeding tendency,"Key signals for screening inherited coagulation factor deficiencies, such as specific factor assays (e.g., factor VIII, factor IX levels) and genetic testing, are not available in the listed features."
3B20,3B20,Disseminated intravascular coagulation,"Key signals for disseminated intravascular coagulation (DIC) such as fibrinogen levels, D-dimer, and specific coagulation factors are missing. The available features do not provide sufficient information to assess the likelihood of DIC."
3B21.0,3B21,Haemorrhage due to thrombin inhibitor other than heparin,"Key signals for assessing bleeding risk due to thrombin inhibitors, such as specific coagulation parameters (e.g., anti-Xa levels, PT/INR), are missing."
3B21.1,3B21,Haemorrhage due to factor Xa inhibitor,"Key signals for screening hemorrhage due to factor Xa inhibitors, such as specific coagulation tests (e.g., anti-Xa levels, PT/INR), are missing. The available features do not provide sufficient information to assess bleeding risk or anticoagulation status."
3B21.Y,3B21,Haemorrhagic disorder due to other specified circulating anticoagulants,"Key signals such as specific coagulation factor levels, circulating anticoagulants, or specific tests for bleeding disorders are missing, which are essential for screening hemorrhagic disorders due to circulating anticoagulants."
3B21.Z,3B21,Haemorrhagic disorder due to unspecified circulating anticoagulants,"Key signals such as specific coagulation studies (e.g., PT, aPTT, specific anticoagulant levels) and clinical history of bleeding are missing, which are essential for screening hemorrhagic disorders due to circulating anticoagulants."
3B22,3B22,Acquired haemophilia,"Acquired hemophilia is characterized by the presence of inhibitors against clotting factors, particularly factor VIII. Key features for screening include specific coagulation tests (e.g., activated partial thromboplastin time (aPTT), factor assays) and inhibitor assays, which are not available in the listed features."
3B2Y,3B2Y,Other specified haemorrhagic diseases due to acquired coagulation factor defects,"Key signals for screening acquired coagulation factor defects, such as specific coagulation factor levels (e.g., Factor VIII, IX) and functional assays (e.g., PT, aPTT), are missing from the available features."
3B50.0,3B50,Congenital alpha-2 antiplasmin deficiency,"Key signals for screening congenital alpha-2 antiplasmin deficiency, such as specific functional assays for alpha-2 antiplasmin levels or genetic testing, are not available in the listed features."
3B50.1,3B50,Congenital plasminogen activator inhibitor type 1 deficiency,"Key signals for screening congenital plasminogen activator inhibitor type 1 deficiency, such as specific coagulation factor assays (e.g., plasminogen levels) and genetic testing, are not available in the listed features."
3B50.Y,3B50,Other specified inherited fibrinolytic defects,"Key signals for inherited fibrinolytic defects, such as specific fibrinogen levels, plasminogen activity, or D-dimer levels, are not included in the available features."
3B50.Z,3B50,"(Inherited fibrinolytic defects, unspecified)","Key signals for inherited fibrinolytic defects, such as specific fibrinogen levels, plasminogen activity, or D-dimer levels, are not included in the available features, making screening infeasible."
3B51,3B51,Acquired fibrinolytic defects,"Key signals for acquired fibrinolytic defects, such as specific fibrinogen levels, D-dimer, and other coagulation factors, are missing from the available features."
3B60.0,3B60,Hereditary vascular purpura,"Key signals for hereditary vascular purpura, such as specific genetic markers or tests for von Willebrand factor levels, are not included in the available features."
3B60.1,3B60,Acquired vascular purpura,"Key signals for acquired vascular purpura, such as specific coagulation factors, platelet function tests, or vascular imaging, are missing. The available features do not provide sufficient information to assess the likelihood of this condition."
3B61.0,3B61,Hereditary thrombophilia,"Key signals for hereditary thrombophilia, such as genetic testing for specific mutations (e.g., Factor V Leiden, Prothrombin G20210A), are not available in the listed features. Additionally, relevant coagulation parameters (e.g., protein C, protein S, antithrombin levels) are also missing, which are essential for screening and assessing thrombophilia risk."
3B61.00,3B61,Hyperhomocysteinaemia,"Hyperhomocysteinaemia is primarily assessed through serum homocysteine levels, which are not included in the available NHANES features. Other relevant factors such as vitamin B12 and folate levels, which are critical for evaluating this condition, are also missing."
3B61.0Y,3B61,Other specified hereditary thrombophilia,"Key signals for hereditary thrombophilia, such as genetic markers (e.g., factor V Leiden, prothrombin mutation) and specific coagulation tests (e.g., protein C, protein S, antithrombin levels), are not available in the listed features."
3B61.0Z,3B61,"(Hereditary thrombophilia, unspecified)","Key signals for hereditary thrombophilia, such as genetic testing for factor mutations (e.g., Factor V Leiden, prothrombin gene mutation) and specific coagulation factor assays, are missing. The available features do not provide the necessary information to assess thrombophilia risk."
3B61.1,3B61,Acquired thrombophilia,"Key signals for acquired thrombophilia, such as specific coagulation factor levels (e.g., antiphospholipid antibodies, protein C, protein S, and antithrombin), are not included in the available features."
3B61.Y,3B61,Other specified thrombophilia,"Key signals for thrombophilia screening, such as specific coagulation factor levels (e.g., Factor V Leiden, prothrombin mutation), antiphospholipid antibodies, or genetic testing for thrombophilia, are not included in the available features."
3B61.Z,3B61,"(Thrombophilia, unspecified)","Key signals for thrombophilia screening, such as specific coagulation factor levels (e.g., Factor V Leiden, prothrombin mutation), antiphospholipid antibodies, or homocysteine levels, are not included in the available features."
3B62.00,3B62,Alpha-granule diseases,"Alpha-granule diseases require specific markers related to platelet function and granule content, such as platelet aggregation studies or specific genetic tests, which are not included in the available features."
3B62.1,3B62,Bleeding diathesis due to thromboxane synthesis deficiency,"Key signals for screening bleeding diathesis due to thromboxane synthesis deficiency, such as platelet function tests (e.g., platelet aggregation studies) and thromboxane levels, are not available in the listed features."
3B62.3,3B62,Dense granule disease,"Dense granule disease is a type of platelet storage pool disorder, which typically requires specific tests for platelet function and granule content (e.g., platelet aggregation studies, electron microscopy) that are not included in the available NHANES features. The listed features primarily assess general hematological parameters and do not provide the necessary signals for screening this specific condition."
3B62.4,3B62,Alpha-delta dense granule deficiency,"Alpha-delta dense granule deficiency is characterized by specific platelet function abnormalities and granule content analysis, which require specialized tests such as platelet aggregation studies and electron microscopy. The available NHANES features do not include any measures of platelet granule content or function, making screening for this condition not feasible."
