code,parent_code,name,medical_reasoning
"3A00.0,3A00,Acquired iron deficiency anaemia due to blood loss",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and iron levels (LBXSIR), which are essential for screening and assessing iron deficiency anemia. These features can help identify anemia and suggest iron deficiency, thus enabling a probabilistic model for the disease."
"3A00.01,3A00,Chronic posthaemorrhagic anaemia",,,"Key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW) are available, which are essential for screening chronic posthaemorrhagic anemia. These features can help assess anemia severity and differentiate it from other types of anemia."
"3A00.0Z,3A00,""Acquired iron deficiency anaemia due to blood loss, unspecified""",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and iron levels (LBXSIR), which are essential for screening and assessing iron deficiency anemia. These features can help identify anemia and suggest iron deficiency, thus enabling a probabilistic model for the disease."
"3A00.1,3A00,Acquired iron deficiency anaemia due to low intake",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and iron levels (LBXIR), which are essential for screening and assessing iron deficiency anemia. These features can help establish a reasonable sensitivity and specificity for identifying individuals at risk of acquired iron deficiency anemia due to low intake."
"3A00.2,3A00,Acquired iron deficiency anaemia due to decreased absorption",,,"Key features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and mean cell volume (LBXMCVSI) are available, which are essential for screening iron deficiency anemia. Additionally, iron levels (LBXSIR) can help assess iron status, supporting the likelihood assessment."
"3A00.3,3A00,Acquired iron deficiency anaemia due to increased requirement",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and iron levels (LBXSIR), which are essential for screening and assessing iron deficiency anemia. These features can help identify low hemoglobin levels and low iron stores, which are indicative of acquired iron deficiency anemia due to increased requirements."
"3A00.Y,3A00,Other specified iron deficiency anaemia",,,"Key features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and iron levels (LBXSIR) are available, which are essential for screening iron deficiency anemia. These features can help establish a reasonable sensitivity and specificity for the condition."
"3A00.Z,3A00,""Iron deficiency anaemia, unspecified""",,,"Key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and iron levels (LBXSIR) are available, which are essential for screening iron deficiency anemia."
"3A01.0,3A01,Hereditary vitamin B12 deficiency anaemia",,,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify macrocytic anemia indicative of vitamin B12 deficiency. However, the absence of direct measures of vitamin B12 levels or methylmalonic acid (MMA) limits the specificity of the screening."
"3A01.1,3A01,Neonatal vitamin B12 deficiency anaemia",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which can help identify anemia. However, the absence of vitamin B12 levels or related metabolic markers limits the specificity for diagnosing vitamin B12 deficiency anemia. Nonetheless, the hematological features can still provide a reasonable screening framework for anemia, which may include vitamin B12 deficiency as a differential diagnosis."
"3A01.2,3A01,Vitamin B12 deficiency anaemia due to low intake",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which can help identify macrocytic anemia typically associated with Vitamin B12 deficiency. Additionally, demographic features like age (RIDAGEYR) and gender (RIAGENDR) can assist in stratifying risk. However, the absence of direct measures of Vitamin B12 levels or methylmalonic acid limits the specificity of the screening."
