code,parent_code,name,medical_reasoning,possibility
3A00.0,3A00,Acquired iron deficiency anaemia due to blood loss,"Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW) are available, which can indicate anemia. Additionally, iron levels (LBXSIR) can help assess iron deficiency, which is crucial for diagnosing acquired iron deficiency anemia due to blood loss.",Possible
3A00.01,3A00,Chronic posthaemorrhagic anaemia,"Key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW) are available, which are essential for screening chronic posthaemorrhagic anemia. Additionally, demographic features like age (RIDAGEYR) and gender (RIAGENDR) can help stratify risk.",Possible
3A00.0Z,3A00,"(Acquired iron deficiency anaemia due to blood loss, unspecified)","The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and iron levels (LBXSIR), which are essential for screening and assessing iron deficiency anemia. These features can help identify anemia and suggest iron deficiency, thus enabling a probabilistic model for the disease.",Possible
3A00.1,3A00,Acquired iron deficiency anaemia due to low intake,"Key features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and iron levels (LBXSIR) are available, which are essential for screening and assessing iron deficiency anemia.",Possible
3A00.2,3A00,Acquired iron deficiency anaemia due to decreased absorption,"Key features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and iron levels (LBXSIR) are available, which are essential for screening and assessing iron deficiency anemia.",Possible
3A00.3,3A00,Acquired iron deficiency anaemia due to increased requirement,"Key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and mean cell volume (LBXMCVSI) are available, which can indicate iron deficiency anemia. Additionally, iron levels (LBXSIR) can help assess iron status, supporting the screening for acquired iron deficiency anemia due to increased requirement.",Possible
3A00.Y,3A00,Other specified iron deficiency anaemia,"Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and iron levels (LBXSIR) are available, which are essential for screening iron deficiency anemia.",Possible
3A00.Z,3A00,"(Iron deficiency anaemia, unspecified)","Key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which are essential for screening iron deficiency anemia. Additionally, iron levels (LBXSIR) can further support the assessment.",Possible
3A01.0,3A01,Hereditary vitamin B12 deficiency anaemia,"Key hematological features such as hemoglobin (LBXHGB), mean cell volume (LBXMCVSI), and red blood cell count (LBXRBCSI) can indicate macrocytic anemia, which is characteristic of vitamin B12 deficiency. However, the absence of vitamin B12 levels or methylmalonic acid (MMA) measurements limits definitive diagnosis; nonetheless, screening for anemia is feasible.",Possible
3A01.1,3A01,Neonatal vitamin B12 deficiency anaemia,"Key signals for screening neonatal vitamin B12 deficiency anemia, such as serum vitamin B12 levels and methylmalonic acid (MMA) levels, are missing. The available features do not include specific markers for vitamin B12 status or deficiency.",Not Possible
3A01.2,3A01,Vitamin B12 deficiency anaemia due to low intake,"Key hematological features such as hemoglobin (LBXHGB), mean cell volume (LBXMCVSI), and red blood cell count (LBXRBCSI) are available, which can indicate macrocytic anemia typically associated with vitamin B12 deficiency. However, the absence of direct vitamin B12 levels or dietary intake data limits the assessment's specificity.",Possible
3A01.3,3A01,Vitamin B12 deficiency anaemia due to intrinsic factor deficiency,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify macrocytic anemia typical of Vitamin B12 deficiency. However, intrinsic factor deficiency specifically cannot be assessed without additional features like serum B12 levels or intrinsic factor antibodies.",Possible
3A01.30,3A01,Pernicious anaemia,"Key hematological features such as hemoglobin (LBXHGB), mean cell volume (LBXMCVSI), and red blood cell count (LBXRBCSI) are available, which can help identify macrocytic anemia typical of pernicious anemia. However, the absence of vitamin B12 levels or intrinsic factor antibodies limits definitive screening.",Possible
3A01.3Y,3A01,Other specified vitamin B12 deficiency anaemia due to intrinsic factor deficiency,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which can help identify macrocytic anemia typically associated with vitamin B12 deficiency. However, the absence of direct measures of vitamin B12 levels or intrinsic factor status limits the specificity of the screening. Nonetheless, the hematological features can still provide a reasonable basis for screening.",Possible
3A01.4,3A01,Vitamin B12 deficiency anaemia due to intestinal disease,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can indicate macrocytic anemia typical of Vitamin B12 deficiency. However, the absence of direct measures of Vitamin B12 levels or intrinsic factor status limits definitive diagnosis but does not preclude screening for anemia.",Possible
3A01.5,3A01,Drug-induced vitamin B12 deficiency anaemia,"Key signals for screening drug-induced vitamin B12 deficiency anemia, such as serum vitamin B12 levels and methylmalonic acid (MMA) levels, are missing. The available features do not provide sufficient information to assess vitamin B12 status or its deficiency.",Not Possible
3A01.Y,3A01,Other specified megaloblastic anaemia due to vitamin B12 deficiency,"Key hematological features such as hemoglobin (LBXHGB), mean cell volume (LBXMCVSI), and red blood cell count (LBXRBCSI) are available, which can indicate megaloblastic anemia. However, vitamin B12 levels are not listed, which is essential for definitive diagnosis; nonetheless, the available features can still support a screening approach for anemia.",Possible
